subjects;feel;fit;y;mot;sleep;strs;time
1;6;5;6;6;2;2;1
1;5;4;6;6;4;3;2
1;5;6;6;6;5;4;3
1;6;5;5;5;4;3;4
1;6;6;6;6;6;2;5
1;5;2;4;4;2;2;6
1;5;5;4;4;4;2;7
1;5;5;6;5;5;2;8
1;6;6;6;5;6;2;9
1;6;4;5;6;4;1;10
2;6;3;6;5;5;2;1
2;6;6;6;6;6;2;2
2;6;5;6;5;3;2;3
2;5;6;4;3;5;5;4
2;6;6;6;6;6;2;5
2;6;6;4;5;6;3;6
2;6;2;6;6;6;2;7
2;5;4;4;5;6;5;8
2;6;5;6;6;6;2;9
2;6;4;6;6;3;2;10
2;6;6;6;6;6;2;16
2;6;2;5;5;6;2;17
2;6;4;4;4;6;2;18
2;6;5;6;6;5;1;19
2;6;6;6;6;6;1;21
2;7;6;6;7;6;1;22
2;6;5;6;6;4;1;23
2;7;6;5;7;7;1;24
2;7;6;6;6;6;1;26
2;4;4;6;7;7;1;27
2;7;4;6;6;6;1;28
2;5;3;6;6;6;1;30
2;6;5;6;5;6;1;31
2;6;5;4;6;4;1;32
2;2;2;5;4;6;1;33
2;5;5;6;5;6;1;34
2;5;3;5;4;5;1;37
3;6;6;5;6;6;2;1
3;6;6;5;6;5;1;2
3;5;4;5;5;3;3;3
3;5;5;5;5;5;3;4
3;6;6;6;6;6;2;5
3;5;5;6;6;5;2;6
3;6;5;6;5;5;2;7
3;5;5;6;5;5;3;8
3;6;5;5;6;5;3;9
3;5;4;5;5;5;3;10
4;6;3;6;6;6;2;1
4;6;5;6;6;5;1;2
4;5;5;4;5;6;2;3
4;6;6;7;6;5;2;4
4;5;3;4;6;5;2;5
4;5;2;3;4;2;4;6
4;2;2;2;2;2;6;7
4;5;5;7;6;6;5;8
4;6;6;6;6;6;2;9
4;5;6;6;6;2;6;10
4;6;6;6;7;3;2;19
4;4;2;6;5;2;5;21
4;4;2;6;5;4;2;22
4;5;2;5;6;4;2;23
4;6;2;6;6;7;5;25
4;6;5;6;6;6;2;29
4;6;6;6;6;4;2;30
4;6;6;6;6;5;2;31
4;6;5;6;6;5;2;32
4;6;5;6;6;4;2;33
4;6;5;6;6;5;2;34
4;5;5;6;6;3;2;35
4;6;5;6;6;4;2;37
5;5;5;3;5;5;2;1
5;5;6;5;5;6;3;2
5;6;6;5;5;2;2;3
5;5;3;3;5;3;5;4
5;6;5;6;3;6;5;5
5;5;5;3;5;6;3;6
5;6;5;6;6;6;2;7
5;6;6;6;6;5;3;8
5;6;5;5;5;4;2;9
5;6;6;6;6;6;2;10
5;7;6;7;7;5;2;26
5;6;6;6;6;6;2;27
5;6;6;6;6;6;2;29
5;6;6;6;6;6;2;30
5;6;4;5;6;6;2;32
5;5;2;5;6;5;3;35
5;6;5;6;6;6;2;36
6;6;2;6;6;5;1;1
6;6;5;7;6;6;2;2
6;6;7;7;7;7;1;3
6;6;6;6;6;6;1;4
6;6;3;4;5;6;1;5
6;6;6;6;4;5;2;6
6;6;7;6;6;7;1;7
6;7;7;7;6;7;3;8
6;7;6;7;7;7;1;9
6;7;7;7;6;7;2;10
6;5;5;5;5;6;1;18
6;3;6;6;5;6;1;21
6;6;6;6;6;6;6;23
6;6;6;6;6;7;1;24
6;6;6;6;7;6;2;25
6;6;6;6;6;6;1;26
6;6;6;6;6;6;1;27
6;6;7;7;5;6;1;28
7;7;7;6;6;6;1;1
7;6;7;6;6;5;1;2
7;6;6;6;6;6;1;3
7;6;2;6;6;6;1;4
7;6;6;4;6;2;1;5
7;7;7;7;7;7;1;6
7;7;5;7;7;7;1;7
7;7;7;7;7;7;1;8
7;7;7;7;7;7;1;9
7;7;7;7;7;7;1;10
7;7;5;7;7;6;1;16
7;7;6;6;6;6;1;18
7;7;7;7;7;6;1;19
7;7;7;7;7;2;1;21
7;6;6;6;6;6;1;22
7;7;7;7;7;7;1;23
7;7;7;7;7;7;1;24
7;7;7;7;7;7;1;25
7;7;7;7;7;7;4;26
7;7;6;7;7;5;4;27
7;7;7;7;7;7;1;28
7;7;4;7;6;4;1;30
7;7;6;5;6;5;1;32
7;7;7;7;7;7;1;33
7;7;7;7;7;7;1;34
7;7;7;7;7;7;1;36
9;6;3;6;7;6;5;1
9;5;5;6;4;3;6;2
9;4;5;6;3;6;6;3
9;6;4;7;6;5;6;4
9;6;6;6;6;7;2;5
9;6;4;6;6;5;2;6
9;6;6;7;6;6;3;7
9;6;4;6;6;6;4;8
9;6;6;6;5;5;5;9
9;6;4;6;6;6;4;10
9;6;6;6;6;6;2;18
9;6;6;6;7;4;2;20
9;6;5;6;6;6;3;21
9;6;6;6;7;6;2;23
9;4;2;4;4;3;4;26
9;6;5;7;7;4;1;27
9;6;6;6;6;6;2;28
9;7;6;6;7;7;2;30
9;6;6;4;6;6;2;33
9;6;6;7;6;6;2;34
9;6;5;7;6;4;2;35
10;5;3;6;5;3;5;1
10;6;6;6;6;6;2;2
10;7;6;6;6;6;2;3
10;6;6;6;6;6;2;4
10;6;6;6;6;6;2;5
10;6;5;6;7;7;1;6
10;6;6;6;6;5;2;7
10;6;6;6;6;6;1;8
10;6;3;6;6;2;2;9
10;6;4;4;6;7;1;10
10;7;6;7;7;7;1;21
10;6;6;7;7;6;1;22
10;6;5;6;6;6;2;23
10;7;7;7;7;7;1;24
10;7;5;5;6;5;2;26
10;7;7;7;7;7;1;27
10;6;5;6;6;7;2;28
10;6;5;6;6;6;1;30
10;7;6;7;7;6;1;31
10;7;7;7;7;7;1;33
10;5;5;6;6;5;3;34
10;7;7;7;7;7;1;36
11;7;6;6;7;3;1;1
11;6;6;6;6;6;2;2
11;5;5;6;6;6;2;3
11;6;6;6;6;5;1;4
11;6;6;6;6;6;1;5
11;6;6;5;6;2;2;6
11;6;5;5;6;2;1;7
11;6;6;6;7;7;1;8
11;6;6;5;6;5;1;9
11;6;6;5;6;7;1;10
11;6;6;6;6;5;1;15
11;6;6;6;7;5;1;16
11;6;6;6;6;7;1;17
11;6;7;6;6;6;1;18
11;6;6;5;6;5;1;19
11;6;6;6;6;6;1;21
11;5;3;4;5;5;1;22
11;6;6;6;6;7;2;23
11;4;6;2;6;3;2;24
11;5;3;5;5;3;4;25
11;6;4;5;6;5;2;26
11;6;6;6;6;6;1;27
11;6;6;6;6;5;2;29
11;4;2;3;6;4;2;31
11;6;5;6;6;5;2;32
12;5;5;4;6;6;2;1
12;6;6;6;6;6;2;2
12;6;6;6;6;6;2;3
12;4;3;5;5;3;3;4
12;6;6;6;6;6;2;5
12;4;3;4;4;4;3;6
12;6;5;6;5;5;2;7
12;6;5;6;6;5;2;8
12;5;4;5;6;6;2;9
12;6;5;4;5;5;2;10
12;6;5;5;5;2;2;18
12;6;6;6;6;6;2;19
12;6;6;6;6;4;2;22
12;6;6;6;6;5;2;23
12;6;6;6;5;6;4;24
12;6;4;5;5;3;3;25
12;3;4;3;3;5;2;26
12;6;6;6;6;6;2;27
12;6;5;4;4;4;3;28
12;3;3;4;3;4;2;30
12;6;6;6;6;7;2;31
12;6;5;5;5;5;2;32
12;6;6;6;6;6;2;33
12;5;4;5;5;6;2;34
12;4;4;4;4;5;2;35
12;6;5;5;5;5;2;36
13;7;7;6;7;7;1;1
13;7;7;5;6;7;1;2
13;7;7;6;7;7;2;3
13;7;7;7;7;7;1;4
13;6;5;5;5;2;1;5
13;7;7;7;7;7;1;6
13;6;5;4;6;6;1;7
13;7;6;6;6;7;1;8
13;6;6;6;6;6;1;9
13;7;7;7;7;7;1;10
13;7;6;6;7;5;6;21
13;6;5;6;6;6;1;25
13;3;3;1;6;6;1;27
13;7;7;7;7;6;1;34
14;6;3;6;6;6;2;1
14;5;6;6;6;2;2;2
14;6;6;6;6;7;3;3
14;6;6;6;6;7;5;4
14;6;6;6;6;7;2;5
14;2;5;5;2;6;6;6
14;2;2;6;2;6;4;7
14;1;2;2;2;2;6;8
14;5;5;6;5;6;4;9
14;2;6;6;5;6;6;10
14;5;3;6;2;6;6;16
14;5;5;5;5;6;5;18
14;6;6;6;6;6;2;19
14;6;6;6;5;6;5;21
