subjects,feel,fit,y,mot,sleep,strs,time
1,6,5,6,6,2,2,1
1,5,4,6,6,4,3,2
1,5,6,6,6,5,4,3
1,6,5,5,5,4,3,4
1,6,6,6,6,6,2,5
1,5,2,4,4,2,2,6
1,5,5,4,4,4,2,7
1,5,5,6,5,5,2,8
1,6,6,6,5,6,2,9
1,6,4,5,6,4,1,10
2,6,3,6,5,5,2,1
2,6,6,6,6,6,2,2
2,6,5,6,5,3,2,3
2,5,6,4,3,5,5,4
2,6,6,6,6,6,2,5
2,6,6,4,5,6,3,6
2,6,2,6,6,6,2,7
2,5,4,4,5,6,5,8
2,6,5,6,6,6,2,9
2,6,4,6,6,3,2,10
3,6,6,5,6,6,2,1
3,6,6,5,6,5,1,2
3,5,4,5,5,3,3,3
3,5,5,5,5,5,3,4
3,6,6,6,6,6,2,5
3,5,5,6,6,5,2,6
3,6,5,6,5,5,2,7
3,5,5,6,5,5,3,8
3,6,5,5,6,5,3,9
3,5,4,5,5,5,3,10
4,6,3,6,6,6,2,1
4,6,5,6,6,5,1,2
4,5,5,4,5,6,2,3
4,6,6,7,6,5,2,4
4,5,3,4,6,5,2,5
4,5,2,3,4,2,4,6
4,2,2,2,2,2,6,7
4,5,5,7,6,6,5,8
4,6,6,6,6,6,2,9
4,5,6,6,6,2,6,10
5,5,5,3,5,5,2,1
5,5,6,5,5,6,3,2
5,6,6,5,5,2,2,3
5,5,3,3,5,3,5,4
5,6,5,6,3,6,5,5
5,5,5,3,5,6,3,6
5,6,5,6,6,6,2,7
5,6,6,6,6,5,3,8
5,6,5,5,5,4,2,9
5,6,6,6,6,6,2,10
6,6,2,6,6,5,1,1
6,6,5,7,6,6,2,2
6,6,7,7,7,7,1,3
6,6,6,6,6,6,1,4
6,6,3,4,5,6,1,5
6,6,6,6,4,5,2,6
6,6,7,6,6,7,1,7
6,7,7,7,6,7,3,8
6,7,6,7,7,7,1,9
6,7,7,7,6,7,2,10
7,7,7,6,6,6,1,1
7,6,7,6,6,5,1,2
7,6,6,6,6,6,1,3
7,6,2,6,6,6,1,4
7,6,6,4,6,2,1,5
7,7,7,7,7,7,1,6
7,7,5,7,7,7,1,7
7,7,7,7,7,7,1,8
7,7,7,7,7,7,1,9
7,7,7,7,7,7,1,10
9,6,3,6,7,6,5,1
9,5,5,6,4,3,6,2
9,4,5,6,3,6,6,3
9,6,4,7,6,5,6,4
9,6,6,6,6,7,2,5
9,6,4,6,6,5,2,6
9,6,6,7,6,6,3,7
9,6,4,6,6,6,4,8
9,6,6,6,5,5,5,9
9,6,4,6,6,6,4,10
10,5,3,6,5,3,5,1
10,6,6,6,6,6,2,2
10,7,6,6,6,6,2,3
10,6,6,6,6,6,2,4
10,6,6,6,6,6,2,5
10,6,5,6,7,7,1,6
10,6,6,6,6,5,2,7
10,6,6,6,6,6,1,8
10,6,3,6,6,2,2,9
10,6,4,4,6,7,1,10
11,7,6,6,7,3,1,1
11,6,6,6,6,6,2,2
11,5,5,6,6,6,2,3
11,6,6,6,6,5,1,4
11,6,6,6,6,6,1,5
11,6,6,5,6,2,2,6
11,6,5,5,6,2,1,7
11,6,6,6,7,7,1,8
11,6,6,5,6,5,1,9
11,6,6,5,6,7,1,10
12,5,5,4,6,6,2,1
12,6,6,6,6,6,2,2
12,6,6,6,6,6,2,3
12,4,3,5,5,3,3,4
12,6,6,6,6,6,2,5
12,4,3,4,4,4,3,6
12,6,5,6,5,5,2,7
12,6,5,6,6,5,2,8
12,5,4,5,6,6,2,9
12,6,5,4,5,5,2,10
13,7,7,6,7,7,1,1
13,7,7,5,6,7,1,2
13,7,7,6,7,7,2,3
13,7,7,7,7,7,1,4
13,6,5,5,5,2,1,5
13,7,7,7,7,7,1,6
13,6,5,4,6,6,1,7
13,7,6,6,6,7,1,8
13,6,6,6,6,6,1,9
13,7,7,7,7,7,1,10
14,6,3,6,6,6,2,1
14,5,6,6,6,2,2,2
14,6,6,6,6,7,3,3
14,6,6,6,6,7,5,4
14,6,6,6,6,7,2,5
14,2,5,5,2,6,6,6
14,2,2,6,2,6,4,7
14,1,2,2,2,2,6,8
14,5,5,6,5,6,4,9
14,2,6,6,5,6,6,10
15,6,6,6,6,6,2,1
15,6,6,6,6,6,3,2
15,6,6,5,5,6,4,3
15,6,6,6,6,6,3,4
15,6,6,6,6,6,2,5
15,6,6,6,6,5,2,6
15,6,7,7,7,6,2,7
15,6,5,7,7,7,2,8
15,7,7,7,7,7,3,9
15,6,6,6,6,3,3,10
16,6,6,6,6,5,3,1
16,6,6,6,6,6,5,2
16,6,6,6,6,6,5,3
16,6,5,6,6,5,2,4
16,6,6,6,6,5,4,5
16,4,3,3,5,2,2,6
16,6,6,6,6,5,4,7
16,5,5,6,5,5,2,8
16,6,5,6,6,5,5,9
16,6,6,6,6,2,2,10
17,5,6,6,6,2,2,1
17,6,6,5,6,6,2,2
17,6,6,6,6,5,2,3
17,6,6,6,6,6,2,4
17,6,6,6,6,6,2,5
17,6,6,6,6,6,2,6
17,6,6,6,6,5,2,7
17,6,6,6,6,6,2,8
17,6,6,6,6,6,2,9
17,6,6,6,6,6,2,10
18,6,5,5,3,5,2,1
18,6,5,5,5,6,2,2
18,6,6,6,3,6,2,3
18,6,6,3,5,2,2,4
18,6,5,4,4,2,1,5
18,6,3,6,3,6,2,6
18,6,3,6,5,6,2,7
18,6,5,6,5,6,2,8
18,6,6,6,5,6,2,9
18,6,3,5,5,6,2,10
19,6,6,6,6,6,3,1
19,6,6,5,6,6,2,2
19,7,6,7,7,7,2,3
19,2,5,3,6,3,6,4
19,7,5,6,7,3,2,5
19,6,5,6,6,2,2,6
19,6,6,6,6,6,2,7
19,6,6,6,6,6,2,8
19,6,7,6,6,6,3,9
19,6,7,6,6,6,2,10
20,5,4,5,5,6,2,1
20,5,4,4,3,3,3,2
20,6,3,4,6,6,2,3
20,6,3,5,5,2,3,4
20,6,6,6,5,4,2,5
20,4,3,4,4,4,2,6
20,5,3,5,5,5,2,7
20,6,3,6,6,5,1,8
20,6,5,6,6,5,2,9
20,6,6,4,5,6,2,10
21,6,6,6,5,6,3,1
21,5,5,5,5,5,2,2
21,5,4,5,5,6,2,3
21,7,7,7,7,7,2,4
21,7,5,7,7,6,1,5
21,6,6,6,6,6,2,6
21,5,6,5,6,6,3,7
21,6,6,5,6,6,2,8
21,7,6,7,7,3,2,9
21,6,6,6,6,4,2,10
22,2,3,1,3,6,6,1
22,3,5,5,5,2,2,2
22,5,6,4,4,5,2,3
22,6,6,6,6,6,2,4
22,6,6,6,6,2,2,5
22,6,6,6,6,6,1,6
22,6,6,7,6,5,1,7
22,7,6,7,7,6,1,8
22,7,7,7,7,6,1,9
22,6,7,7,7,7,1,10
23,6,6,6,7,6,2,1
23,6,6,6,6,3,2,2
23,4,6,6,5,6,2,3
23,6,6,6,6,6,2,4
23,6,5,6,6,6,2,5
23,7,6,6,7,6,5,6
23,5,3,5,4,3,2,7
23,2,6,6,5,6,2,8
23,6,6,6,5,6,3,9
23,6,6,6,6,6,2,10
24,7,7,7,7,7,2,1
24,7,6,6,6,6,1,2
24,7,6,6,6,6,1,3
24,5,6,5,5,3,2,4
24,7,6,7,6,7,1,5
24,6,6,6,6,6,1,6
24,6,6,6,6,6,2,7
24,6,6,5,6,6,2,8
24,6,6,6,6,6,2,9
24,5,6,6,6,6,2,10
25,3,5,2,6,2,2,1
25,6,6,6,4,2,1,2
25,6,6,6,6,2,1,3
25,6,3,5,5,2,2,4
25,6,6,6,6,6,2,5
25,6,6,6,6,6,2,6
25,6,6,5,5,4,2,7
25,7,4,7,7,3,2,8
25,6,7,6,6,5,2,9
25,7,6,6,6,6,2,10
27,6,3,4,5,3,2,1
27,6,3,6,4,3,3,2
27,6,5,5,6,3,2,3
27,6,5,6,6,6,3,4
27,6,5,6,6,5,2,5
27,6,5,5,6,6,2,6
27,6,5,4,7,5,2,7
27,5,6,5,5,5,2,8
27,6,6,4,5,6,2,9
27,6,6,5,6,3,2,10
28,7,7,6,7,5,2,1
28,6,6,6,3,2,3,2
28,6,6,6,6,7,2,3
