"ID","species","dfromtop","totheight","height","LMA","narea"
"FP11","Pinus ponderosa",8.88,22.4,13.52,319.4472,2.77919
"FP11","Pinus ponderosa",0.62,22.4,21.78,342.7948,4.0107
"FP11","Pinus ponderosa",4.72,22.4,17.68,329.5399,3.365579
"FP15","Pinus ponderosa",2.74,27.69,24.95,312.4467,3.682907
"FP15","Pinus ponderosa",5.48,27.69,22.21,278.4037,2.524224
"FP15","Pinus ponderosa",8.4,27.69,19.29,255.9716,2.351546
"FP15","Pinus ponderosa",8.8,27.69,18.89,277.6446,3.452499
"FP15","Pinus ponderosa",6.85,27.69,20.84,289.3874,2.708803
"FP15","Pinus ponderosa",4.8,27.69,22.89,343.5908,3.347087
"FP16","Pinus ponderosa",8.03,35.58,27.55,313.0615,2.867569
"FP16","Pinus ponderosa",12.6,35.58,22.98,335.8101,2.975715
"FP16","Pinus ponderosa",1.89,35.58,33.69,349.5519,3.623571
"FP16","Pinus ponderosa",5.67,35.58,29.91,340.1128,3.262464
"FP16","Pinus ponderosa",9.92,35.58,25.66,342.1402,3.010312
"FP16","Pinus ponderosa",2.27,35.58,33.31,391.066,4.289363
"FP16","Pinus ponderosa",6.05,35.58,29.53,307.3718,2.90109
"FP17","Pinus ponderosa",4.14,33.12,28.98,318.7777,3.581849
"FP17","Pinus ponderosa",1.45,33.12,31.67,331.114,3.675366
"FP17","Pinus ponderosa",7.08,33.12,26.04,271.7722,3.200769
"FP17","Pinus ponderosa",1.81,33.12,31.31,333.8943,4.137158
"FP17","Pinus ponderosa",4.97,33.12,28.15,271.9525,2.657209
"FP17","Pinus ponderosa",7.72,33.12,25.4,244.6502,2.413344
"FP21","Pinus ponderosa",9.32,41.16,31.84,335.7743,3.230314
"FP21","Pinus ponderosa",6.21,41.16,34.95,305.9285,3.085787
"FP21","Pinus ponderosa",1.94,41.16,39.22,362.1693,4.658115
"FP21","Pinus ponderosa",12.62,41.16,28.54,349.3593,3.128785
"FP21","Pinus ponderosa",17.89,41.16,23.27,297.134,2.989168
"FP21","Pinus ponderosa",13.04,41.16,28.12,297.934,2.843327
"FP21","Pinus ponderosa",18.81,41.16,22.35,283.992,3.462675
"FP21","Pinus ponderosa",3.49,41.16,37.67,383.2974,3.411098
"FP22","Pinus ponderosa",1.39,23.34,21.95,251.4761,2.895358
"FP22","Pinus ponderosa",0.41,23.34,22.93,276.1112,3.465768
"FP22","Pinus ponderosa",2.79,23.34,20.55,284.4571,3.059914
"FP22","Pinus ponderosa",4.06,23.34,19.28,300.7122,4.291996
"FP22","Pinus ponderosa",0.81,23.34,22.53,278.3782,3.568332
"FP22","Pinus ponderosa",4.47,23.34,18.87,279.2089,3.42892
"FP22","Pinus ponderosa",3.31,23.34,20.03,251.6368,3.63376
"FP22","Pinus ponderosa",2.44,23.34,20.9,255.8584,3.642633
"FP23","Pinus ponderosa",11.02,25.94,14.92,252.532,2.334475
"FP23","Pinus ponderosa",0.32,25.94,25.62,265.9635,3.4123
"FP23","Pinus ponderosa",9.26,25.94,16.68,234.5269,2.259197
"FP23","Pinus ponderosa",3.91,25.94,22.03,269.155,2.902649
"FP23","Pinus ponderosa",6.93,25.94,19.01,248.0208,2.606624
"FP23","Pinus ponderosa",4.95,25.94,20.99,270.5129,3.33548
"FP23","Pinus ponderosa",7.64,25.94,18.3,238.4405,2.520336
"FP23","Pinus ponderosa",2.87,25.94,23.07,302.5796,3.444056
